generator,ruleset,seed,budget,branch_coverage,mutation_score,time_sec
random,wimbledon,0,20,0.7727272727272727,0.4383116883116883,7.904
random,wimbledon,1,20,0.7272727272727273,0.39935064935064934,8.506
random,wimbledon,2,20,0.6818181818181819,0.38311688311688313,19.373
random,wimbledon,3,20,0.7727272727272727,0.38961038961038963,17.624
random,wimbledon,4,20,0.7727272727272727,0.4025974025974026,10.866
random,wimbledon,5,20,0.6818181818181819,0.35064935064935066,32.235
random,wimbledon,6,20,0.7272727272727273,0.4155844155844156,15.164
random,wimbledon,7,20,0.6818181818181819,0.37987012987012986,11.874
random,wimbledon,8,20,0.7727272727272727,0.4025974025974026,14.564
random,wimbledon,9,20,0.7727272727272727,0.39935064935064934,13.969
random,wimbledon,10,20,0.7727272727272727,0.38636363636363635,12.568
random,wimbledon,11,20,0.7272727272727273,0.3961038961038961,13.99
random,wimbledon,12,20,0.7727272727272727,0.4090909090909091,17.76
random,wimbledon,13,20,0.7272727272727273,0.38961038961038963,9.677
random,wimbledon,14,20,0.7272727272727273,0.39935064935064934,10.928
random,wimbledon,15,20,0.7272727272727273,0.37662337662337664,11.375
random,wimbledon,16,20,0.5303030303030303,0.3474025974025974,10.072
random,wimbledon,17,20,0.7727272727272727,0.40584415584415584,12.713
random,wimbledon,18,20,0.7727272727272727,0.38961038961038963,12.645
random,wimbledon,19,20,0.7272727272727273,0.39935064935064934,9.781
random,wimbledon,20,20,0.7272727272727273,0.4025974025974026,10.007
random,wimbledon,21,20,0.7727272727272727,0.3961038961038961,12.619
random,wimbledon,22,20,0.7272727272727273,0.38961038961038963,17.542
random,wimbledon,23,20,0.7727272727272727,0.39285714285714285,17.036
random,wimbledon,24,20,0.7727272727272727,0.39935064935064934,10.091
random,wimbledon,25,20,0.7272727272727273,0.38311688311688313,12.055
random,wimbledon,26,20,0.7727272727272727,0.4025974025974026,11.047
random,wimbledon,27,20,0.7727272727272727,0.40584415584415584,12.712
random,wimbledon,28,20,0.7272727272727273,0.4025974025974026,15.039
random,wimbledon,29,20,0.7272727272727273,0.38961038961038963,11.112
random,usopen,0,20,0.7575757575757575,0.4383116883116883,10.629
random,usopen,1,20,0.7272727272727273,0.39935064935064934,12.054
random,usopen,2,20,0.6818181818181819,0.38311688311688313,9.623
random,usopen,3,20,0.7575757575757575,0.38961038961038963,10.189
random,usopen,4,20,0.7575757575757575,0.4025974025974026,11.156
random,usopen,5,20,0.6818181818181819,0.35064935064935066,10.336
random,usopen,6,20,0.7272727272727273,0.4155844155844156,10.674
random,usopen,7,20,0.6818181818181819,0.37987012987012986,10.779
random,usopen,8,20,0.7575757575757575,0.4025974025974026,11.62
random,usopen,9,20,0.7575757575757575,0.40584415584415584,9.935
random,usopen,10,20,0.7575757575757575,0.39285714285714285,10.182
random,usopen,11,20,0.7272727272727273,0.3961038961038961,14.852
random,usopen,12,20,0.7575757575757575,0.41233766233766234,12.846
random,usopen,13,20,0.7272727272727273,0.38961038961038963,8.678
random,usopen,14,20,0.7272727272727273,0.39935064935064934,10.519
random,usopen,15,20,0.7121212121212122,0.38311688311688313,11.405
random,usopen,16,20,0.5303030303030303,0.3474025974025974,10.7
random,usopen,17,20,0.7575757575757575,0.39935064935064934,11.185
random,usopen,18,20,0.7575757575757575,0.38961038961038963,11.17
random,usopen,19,20,0.7272727272727273,0.39935064935064934,10.378
random,usopen,20,20,0.7272727272727273,0.4025974025974026,11.502
random,usopen,21,20,0.7575757575757575,0.3961038961038961,12.213
random,usopen,22,20,0.7272727272727273,0.38961038961038963,12.188
random,usopen,23,20,0.7575757575757575,0.39935064935064934,11.215
random,usopen,24,20,0.7575757575757575,0.39935064935064934,9.484
random,usopen,25,20,0.7272727272727273,0.38311688311688313,10.591
random,usopen,26,20,0.7575757575757575,0.39285714285714285,11.746
random,usopen,27,20,0.7575757575757575,0.41233766233766234,10.802
random,usopen,28,20,0.7272727272727273,0.4025974025974026,9.825
random,usopen,29,20,0.7272727272727273,0.38961038961038963,11.806
random,ausopen,0,20,0.7727272727272727,0.4383116883116883,11.159
random,ausopen,1,20,0.7272727272727273,0.39935064935064934,10.632
random,ausopen,2,20,0.6818181818181819,0.38311688311688313,12.286
random,ausopen,3,20,0.7727272727272727,0.38961038961038963,13.136
random,ausopen,4,20,0.7727272727272727,0.4025974025974026,10.261
random,ausopen,5,20,0.6818181818181819,0.35064935064935066,9.739
random,ausopen,6,20,0.7272727272727273,0.4155844155844156,11.375
random,ausopen,7,20,0.6818181818181819,0.37987012987012986,11.109
random,ausopen,8,20,0.7727272727272727,0.4025974025974026,10.736
random,ausopen,9,20,0.7727272727272727,0.39935064935064934,10.899
random,ausopen,10,20,0.7727272727272727,0.38636363636363635,10.498
random,ausopen,11,20,0.7272727272727273,0.3961038961038961,11.288
random,ausopen,12,20,0.7727272727272727,0.4090909090909091,11.366
random,ausopen,13,20,0.7272727272727273,0.38961038961038963,11.496
random,ausopen,14,20,0.7272727272727273,0.39935064935064934,11.353
random,ausopen,15,20,0.7272727272727273,0.37662337662337664,11.166
random,ausopen,16,20,0.5303030303030303,0.3474025974025974,10.616
random,ausopen,17,20,0.7727272727272727,0.40584415584415584,10.962
random,ausopen,18,20,0.7727272727272727,0.38961038961038963,12.001
random,ausopen,19,20,0.7272727272727273,0.39935064935064934,10.239
random,ausopen,20,20,0.7272727272727273,0.4025974025974026,10.572
random,ausopen,21,20,0.7727272727272727,0.3961038961038961,11.925
random,ausopen,22,20,0.7272727272727273,0.38961038961038963,11.551
random,ausopen,23,20,0.7727272727272727,0.39285714285714285,10.696
random,ausopen,24,20,0.7727272727272727,0.39935064935064934,12.411
random,ausopen,25,20,0.7272727272727273,0.38311688311688313,12.175
random,ausopen,26,20,0.7727272727272727,0.4025974025974026,9.343
random,ausopen,27,20,0.7727272727272727,0.40584415584415584,10.39
random,ausopen,28,20,0.7272727272727273,0.4025974025974026,12.382
random,ausopen,29,20,0.7272727272727273,0.38961038961038963,10.567
search,wimbledon,0,20,0.7272727272727273,0.37987012987012986,11.261
search,wimbledon,1,20,0.7272727272727273,0.4025974025974026,11.681
search,wimbledon,2,20,0.5303030303030303,0.34415584415584416,11.844
search,wimbledon,3,20,0.7272727272727273,0.36688311688311687,11.965
search,wimbledon,4,20,0.6818181818181819,0.37987012987012986,11.717
search,wimbledon,5,20,0.6818181818181819,0.36038961038961037,11.833
search,wimbledon,6,20,0.7272727272727273,0.39935064935064934,12.745
search,wimbledon,7,20,0.6818181818181819,0.36688311688311687,11.575
search,wimbledon,8,20,0.7727272727272727,0.37987012987012986,10.768
search,wimbledon,9,20,0.6818181818181819,0.37012987012987014,11.371
search,wimbledon,10,20,0.7727272727272727,0.4025974025974026,11.58
search,wimbledon,11,20,0.6818181818181819,0.37337662337662336,11.195
search,wimbledon,12,20,0.7272727272727273,0.37337662337662336,11.982
search,wimbledon,13,20,0.7272727272727273,0.37012987012987014,12.62
search,wimbledon,14,20,0.7727272727272727,0.3961038961038961,11.325
search,wimbledon,15,20,0.5303030303030303,0.3409090909090909,11.424
search,wimbledon,16,20,0.5303030303030303,0.33116883116883117,12.802
search,wimbledon,17,20,0.7272727272727273,0.3961038961038961,11.317
search,wimbledon,18,20,0.7272727272727273,0.38636363636363635,13.234
search,wimbledon,19,20,0.6666666666666667,0.36688311688311687,11.315
search,wimbledon,20,20,0.5303030303030303,0.3409090909090909,11.303
search,wimbledon,21,20,0.6818181818181819,0.37662337662337664,10.611
search,wimbledon,22,20,0.7727272727272727,0.39935064935064934,12.595
search,wimbledon,23,20,0.6818181818181819,0.38636363636363635,16.541
search,wimbledon,24,20,0.5303030303030303,0.3474025974025974,8.08
search,wimbledon,25,20,0.6818181818181819,0.37662337662337664,8.302
